Deity,Alignment,Domain,Portfolio
Siberys,N/A,Magic,"Creator of magic, the Golden Dragon Above"
Eberron,N/A,Life,"Creator of life, the Gentle Dragon Between"
Khyber,N/A,Darkness,"Creator of darkness, the Cruel Dragon Below"
Aureon,Lawful Neutral,"Knowledge, Order, Arcana","Law, knowledge, magic"
Boldrei,Lawful Good,"Life, Peace, Twilight","Hearth, community, marriage, government"
Dol Arrah,Lawful Good,"Light, War, Glory","Honor, sacrifice, light, sun, diplomacy"
Dol Dorn,Chaotic Good,"War, Strength, Competition","War, athleticism, competition"
Arawai,Neutral Good,"Life, Nature, Weather","Fertility, crops, wilderness, birth"
Olladra,Neutral Good,"Life, Trickery, Luck","Good fortune, feast, plentyness"
Onatar,Neutral Good,"Forge, Knowledge, Fire","Crafts, weapons, tools, smithing, innovation"
Balinor,Neutral,"Life, Nature, War","Beasts, the hunt"
Kol Korran,Neutral,"Trickery, Commerce, Wealth","Trade, wealth, money, commerce, theft"
The Devourer,Neutral Evil,Tempest,"Destruction, storms, nature’s fury"
The Fury,Chaotic Evil,"War, Tempest, Trickery","Passion, madness, revenge"
The Keeper,Neutral Evil,Death,"Greed, death, soul, theft"
The Mockery,Lawful Evil,"War, Trickery","Betrayal, dishonor, revenge"
The Shadow,Chaotic Evil,"Arcana, Knowledge","Dark magic, corruption"
The Traveler,Chaotic Neutral,"Change, Trickery","Chaos, invention, journeys, transformation"
Silver Flame,Lawful Good,"Light, War","Purity, protection, eradication of evil"
