Trinket,d100
An ivory whale statuette,97
A soft feather that falls like a stone when dropped,47
A single hoop earring made of a porous red stone,91
A lady's coin purse containing two sharp fangs,7
A small comb made of blue coral,93
A tea kettle that heats itself when filled with water,37
A stone smoking pipe that never needs lighting,23
An eyepatch made of obsidian and a black leather cord,99
"An ornate razor, which only cuts in freezing cold temperature",66
"A charred, half-melted pewter clasp that glows as if smoldering but releases no heat",18
A spinning top with an image of one of the four elements on each side,90
A small music box made of brass. It features a pair of tiny automatons that resemble Azer working at a forge,75
A rose carved from coral,39
A yellow gemstone that glows dimly when a storm is nearby,83
"A small toy boat made with a walnut shell, toothpick, and piece of cloth",33
A book filled with writing that only appears when the book is held underwater,51
"A fist-sized cog, covered in barnacles",98
A small pocket mirror that slowly fogs over while held,34
"A romance chapter book written in undercommon titled ""Just one Layer of Grey""",95
A wooden puzzle cube covered in elemental symbols,78
A small brass flute adorned with silver wire that is always faintly sounding,71
"A large transparent gem that, when gripped tightly, whispers in Terran",48
A small wooden box filled with a strange red clay,69
"A small silver bell that makes a sound like quiet, distant thunder when it's struck",42
A frost-covered silver locket that's frozen shut,9
The tiny skull of a rabbit that whispers scathing insults when nobody is looking,30
A mirror that only shows the back of your head,5
A small jewelry box made from the shell of a turtle,88
A small vial that is always filled with the smell of autumn wind,62
A paper fan that won't produce a breeze no matter how hard it's waved,2
A glass pendant with a hole in the center that a mild breeze always blows out of,46
"A tuning fork made from a dark metal which glows with a pale, white light during thunderstorms",61
A small collapsible silver cup that perspires constantly when opened,64
A unbreakable sealed jar of glowing water that hums when shaken,20
"An amulet filled with liquid that churns, freezes, or boils to match its wearer's mood",41
"A palm-sized stone with a hole in it, through which can be heard a constantly whispering wind",73
A hourglass that tells time with falling mist instead of sand,65
"A miniature brass horn, silent when played, but fills the air with the scent of warm and exotic spices",59
A canteen filled with a foul smelling orange mud,85
"A drinking cup, that randomly fills with fresh or salt water. Refilling once emptied",15
A rough stone eye pulled from a petrified creature,22
A large brass coin with no markings or images on it,68
"A small puzzle box made of brass, that is slightly warm to the touch",56
A cloudy chunk of glass that is said to hold a spark of breath from a blue dragon,57
"A glass eyeball that looks about of its own accordance, and can roll around",13
"A small, clay square with an unknown rune etched into one side",36
Half of a palm-sized geode that pulses dimly with purple light,50
The desiccated body of a small eight-legged black lizard,32
"A small crystal snow globe that, when shaken, seems to form silhouettes of dancing forms",49
"A small whistle, that when blown, whispers a name of a person or place unknown to you, instead of the whistle sound",24
A clockwork finch that flaps its wings in the presence of a breeze,19
A locket of hair that is rumored to have come from a famed fire genasi,53
An old scratched monocle which shows an underwater landscape whenever someone looks through it,38
A heavy iron key bearing the name of a ship long lost to the sea,87
A small handmirror which only reflects inanimate objects,12
A small stone cube that acts as a magnet when placed against another stone,79
A bronze oil lamp which is rumored to have once held a genie,27
"A necklace with a small, rusted iron anchor",70
"A deep blue piece of flint, that when struck with steel produces not a spark but a drop of water",16
An hourglass in which the sands pour upward instead of downward,45
A piece of petrified wood carved into the shape of a seashell,77
A bracelet made of silvered fish hooks,81
A small vial of black sand that glows slightly in the moonlight,43
A blank piece of wet parchment that never seems to dry,55
A glass jar containing the preserved corpse of an unfamiliar aquatic creature,76
A glass bottle with a tiny ship of unfamiliar design inside,100
"Flint and steel that, when used to start a faire, creates a random colored flame",54
"A fist sized rock that ""beats"" like a heart",25
"A tiny, broken clockwork Harpy",96
"A small, finely polished geode whose crystals slowly fade between every color of the spectrum",21
An eye-sized blue pearl that floats in salt water,60
A red and black Aarakocra feather,72
A glass cup that can only be filled half way no matter how much liquid is poured into it,4
A chess piece fashioned to look like fire myrmidon,89
A small wooden doll that when held brings back fond memories,11
A charred chisel with an unfamiliar symbol stamped into its base,84
A pair of bronze scissors in the shape of a pair of leaping dolphins,26
"Seven small beads of sandstone on a string, all different colors",94
A sealed envelope made of red leather that you haven’t been able to open. It smells of campfire,52
"A small sea conch with the words ""From the beginning"" painted on the lip",8
Wind chimes that glow when the wind blows,35
A conch shell which is always damp and constantly drips saltwater,17
A ring made of a white metal. On the inside is a name etched in Auran,80
A small conch shell covered in black crystal,74
A rag doll in the likeness of an owlbear,31
An arrowhead carved from sea salt,92
A clear marble that slowly rolls toward the nearest source of running water,63
A petrified potato that resembles someone important to you,3
A set of dice with elemental symbols and primordial runes instead of pips or numbers,40
A crude chalice made of coal,58
"A seal which imprints a mysterious, unknown coat of arms into hard rock",10
"A one-eyed little fish inside a spherical vial, much bigger than the vial's neck. He has a cunning look",29
A journal filled with poetry hand-written in Primordial,82
A faceless doll made of driftwood,86
A small whale tooth with etched with an image of waves crashing upon a beach,44
A small glass bird that when set down near water dips its head in as if to get a drink,6
A single gauntlet inscribed with a fire motif and an unfamiliar name in Primordial,28
A Compass that always points to Mulmaster,1
A shark tooth covered in tiny etched words from a lost language,67
A glass orb that replicates yesterday's weather inside itself,14
