Name,Addl. Info,Allegiance,Campaign Awareness,"Campaign Organizations, Clans, & Families",Characters,Enounters (scripted & random),Files & media,GM Description and Info,Level,Link to more information,Location Relation,Main or Side Quest,Notable Relationship NPCs,Org. Explanation,Organizations,Originated Quest,Player Description,Quest Status,Quests Associated,Quests Home,Quests and Missions Explained,Relgion Cont.,Religion,Rollup,Strengths,Title,Voice/Style,Weaknesses
Drogon Stonebeard,"Drogon's leadership has seen Ulfgar through numerous challenges, including internal strife, external threats, and economic upheaval. His policies focus on strengthening defenses, fostering trade relationships, and promoting innovation in the city's forges and workshops. Drogon’s involvement in secret organizations allows him to maintain a tight grip on the city's security and ensures he is always one step ahead of potential threats.","Karnuk, Phoenix's Respite (Form. Neverwinter), Vragathul",Unknown,,,Lost Miners Ambush (Encounters/Enounters%20(scripted%20&%20random)/Lost%20Miners%20Ambush%2036bf1bb7e5ae4d2391cc1f68c18dc7ee.csv),,"Drogon Stonebeard is the linchpin of Ulfgar's governance, embodying the essence of dwarven resilience and leadership. As the highest-ranking official, he bears the weight of the city's fate on his broad shoulders. His tactical acumen and unyielding dedication to Ulfgar's prosperity and security have earned him the unwavering loyalty of its citizens. Drogon’s governance is characterized by a blend of strict discipline and deep respect for the age-old traditions of the Underdark. His policies are meticulously crafted to ensure the stability and growth of Ulfgar, often involving intricate strategies that balance defense, trade, and diplomacy.

Drogon's background as a former miner and militia leader has equipped him with invaluable insights into the city's workings, both above and below ground. His strategic mind is constantly at work, devising plans to counter potential threats and exploit opportunities for Ulfgar's benefit. His leadership style is hands-on, often seen inspecting the mines or training with the militia, which keeps him grounded and connected with the daily lives of his people. This practical approach, combined with his deep-seated knowledge of the city's resources and geography, makes him an adept problem-solver, capable of swift and decisive action when needed.

Despite his stern exterior, Drogon is not without a softer side. He harbors a profound sense of duty and compassion for his kin, which drives his relentless pursuit of their well-being. His private moments reveal a leader who is deeply introspective, often seeking counsel from the ancient texts and relics that tell the story of Ulfgar’s past. These relics serve as a source of strength and wisdom, guiding his decisions and reinforcing his commitment to the city's legacy. Drogon’s foresight extends beyond immediate concerns, as he is constantly planning for the future, ensuring that Ulfgar remains a bastion of dwarven heritage and a beacon of stability in the tumultuous Underdark.",20,,Ulfgar: The Underground Jewel (Locations/Ulfgar%20The%20Underground%20Jewel%2069f9ad15c2064e1789ab458fada6bed8.csv),Main Quest,"Master Blacksmith of Karnuk, Scholars of Phoenix's Respite, Viceroy Xarath of Vragathul","Ulfgar Militia: The primary defense force of Ulfgar, responsible for maintaining security within the city and its immediate surroundings.

Ulfgar Mining Guild: Oversees all mining operations in Ulfgar, ensuring the steady supply of minerals and precious metals.

The Shadowed Axes: A secretive organization that Drogon uses to gather intelligence and conduct covert operations. They are his eyes and ears, operating in the shadows to protect Ulfgar from unseen threats.

The Deepforge Brotherhood: An ancient and secretive group of master forgers and enchanters who create powerful weapons and artifacts for Ulfgar’s elite warriors. Drogon maintains close ties with this organization to ensure the city's champions are well-equipped.","Deepforge Brotherhood, The Shadowed Axes, Ulfgar Militia, Ulfgar Mining Guild","Lost Minders of Ulfgar, Uttp Diplomatic Relations","Drogon Stonebeard cuts an imposing figure, his very presence exuding authority and command. Standing tall for a dwarf, his physique is a testament to a life of hard labor and relentless training. His skin, weathered and marked by the scars of countless battles, tells a story of resilience and survival. Drogon's eyes are a piercing blue, sharp and calculating, reflecting a mind that is always several steps ahead. These eyes, often glinting with a cold, steely resolve, can shift from a gaze that seems to pierce through deception to one that reassures and commands loyalty.

His facial features are stern and chiseled, framed by a thick, braided beard that flows like a river of silver, a testament to his age and wisdom. His bald head only adds to his formidable appearance, highlighting the intricate tattoos that mark him as a leader among his people. Drogon’s voice, deep and resonant, carries the weight of authority and the wisdom of years, able to inspire his troops and intimidate his foes with equal measure.

Drogon's armor is a masterpiece, crafted from the finest metals that Ulfgar's legendary forges can produce. It gleams with an almost otherworldly sheen, etched with runes and symbols of protection and power. This armor not only serves as a defense but also as a symbol of his status and the city's craftsmanship. His warhammer, always within reach, is an extension of his will, a tool of both governance and battle.

When Drogon speaks, his words are measured and deliberate, each one chosen to convey his intent with clarity and purpose. He commands the room with his presence, his tone a blend of RA Salvatore’s narrative depth, Matt Mercer’s dynamic character portrayal, and Tolkien’s epic gravitas. To his allies, he is a pillar of strength and wisdom; to his enemies, a formidable and unyielding opponent.

In his interactions with the players, Drogon embodies the spirit of Ulfgar – strong, steadfast, and deeply rooted in tradition. His missions and requests are framed with a sense of urgency and importance, as he entrusts the characters with tasks that could alter the fate of the city. Whether he is recounting the dire situation of his nephew’s lost expedition or the volatile tensions at the trading crossroads, Drogon's presence and words leave an indelible mark, compelling the players to rise to the challenge and prove their mettle.",Not Started,,"(2)The Masks We Wear (Quests/Quests%20Home/(2)The%20Masks%20We%20Wear%209e652e94f4974fd78dbd091a719805a2.csv), (1)Lost Miners & Diplomatic Relations (Quests/Quests%20Home/(1)Lost%20Miners%20&%20Diplomatic%20Relations%20bc501c7e027048e1973d2b2b85ca7b25.csv)",,"Adapting to the Silence:

• The Silent Vigil: With the gods having fallen silent, Drogon, like many dwarves, has had to adapt his faith. The Silent Vigil is a practice that has emerged among dwarven communities, where followers continue to honor Moradin's teachings through their actions and traditions, even in the absence of direct divine guidance. This practice involves maintaining the forges, continuing to craft with excellence, and upholding the values of honor, duty, and perseverance.

• Reverence for Ancestors: In addition to honoring Moradin, Drogon places a strong emphasis on the veneration of ancestors. This practice involves commemorating the deeds and wisdom of past generations, drawing strength from their legacy. Ancestor worship provides a source of spiritual support and continuity, reinforcing the communal bonds within Ulfgar.

Current Religious Practices:

• Rituals and Ceremonies: Despite the silence of the gods, rituals and ceremonies dedicated to Moradin and the ancestors are still regularly performed in Ulfgar. These include the Blessing of the Forge, where craftsmen dedicate their work to Moradin, and the Honoring of the Ancestors, where stories of great deeds and sacrifices are recounted during communal gatherings.

• Symbols and Relics: Drogon ensures that the symbols of Moradin, such as the hammer and anvil, are prominently displayed within Ulfgar. Relics and artifacts from the time when the gods were active are preserved and revered, serving as reminders of the divine legacy and the principles that guide the community.
Personal Beliefs:

• Faith in Action: For Drogon, faith is expressed through action. By leading Ulfgar with integrity, fostering craftsmanship, and protecting his people, he believes he is fulfilling Moradin's will and honoring his ancestors. This pragmatic approach to faith helps him stay grounded and focused on the tangible aspects of leadership and community building.

• Hope for the Future: While the gods' silence is a source of sorrow, Drogon holds onto hope that one day they may speak again. Until then, he remains steadfast in his duties, drawing strength from the enduring spirit of his people and the timeless teachings of Moradin.

Summary
Drogon Stonebeard's religious practices and beliefs are deeply rooted in the traditional worship of Moradin, adapted to a world where the gods have fallen silent. Through the Silent Vigil and reverence for his ancestors, Drogon continues to uphold the values of his faith, expressing his devotion through his actions as a leader and craftsman. This pragmatic and resilient approach to religion helps him guide Ulfgar with strength and integrity, honoring the divine legacy in a time of uncertainty.",The Silent Vigil,,,Viceroy of Ulfgar,"Stern, authoritative, with a deep and commanding tone.",
NPC Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grixiz,,"Deepwater Fishers, Iron Gears, Karnuk, Shadowscale Clan, Ulfgar, Vragathul",Unknown,,,,NPCs/Grixiz.png,"Emerging from the shadows of the tunnels, Grixiz has carved her name in the Underdark's history. Born into a small, nomadic tribe, her exceptional talent for hunting and survival shone brightly from a young age. This prowess propelled her through the ranks, solidifying her position as a skilled warrior and respected leader within her tribe.

When the city of Zarakzul rose from the depths, Grixiz seized the opportunity to unite the scattered goblin and kobold tribes under a unified banner. Her natural charisma and sharp tactical mind proved to be valuable assets, enabling her to forge alliances with other tribes and earn the trust of Zarakzul's rulers.

As her influence grew, Grixiz's leadership style, characterized by fairness, justice, and unwavering loyalty to her people, resonated with many. She became a champion for the rights of goblins and kobolds, advocating for improved living conditions and fairer treatment. Her unwavering dedication to her people's well-being earned her widespread respect and admiration.

Grixiz's exceptional leadership qualities culminated in her appointment as the Viceroy of Zarakzul. Since assuming the mantle of leadership, she has continued to guide the city with wisdom and compassion. Despite facing numerous challenges, including external threats from neighboring hostiles and internal power struggles, Grixiz has remained a beacon of stability and unwavering resolve, her commitment to the safety and prosperity of her people never wavering.

Appearance:
Grixiz is a small, wiry goblin with sharp, angular features. Her skin is a deep green, and her piercing yellow eyes gleam with intelligence and determination. She often wears dark, practical clothing suitable for stealth and combat, and she carries a variety of tools and weapons at all times.

Personality:
Grixiz is a cunning and strategic thinker, always looking for ways to outmaneuver her opponents. Despite her tough exterior, she deeply cares for her people and will go to great lengths to protect them. She values loyalty and justice and believes in fair treatment for all inhabitants of Zarakzul.

Motivations:
Grixiz is driven by a desire to see her people thrive and to ensure the safety and prosperity of Zarakzul. She is also motivated by a personal quest to unite the scattered goblin and kobold tribes and to foster cooperation and mutual respect among the various races of the Underdark.

Goals:
• Short-term Goal: Strengthen the defenses of Zarakzul against external threats.
• Mid-term Goal: Establish stronger trade relations with neighboring cities to ensure a steady flow of resources.
• Long-term Goal: Achieve lasting peace and cooperation among the races of the Underdark.",20,,Zarakzul: A Jewel in the Underdark (Locations/Zarakzul%20A%20Jewel%20in%20the%20Underdark%203737ae62b15a4c48b06fe231c0aa7447.csv),"Main Quest, Side Quest",,"Shadow Scale Clan: Security and protection.
Deepwater Fishers: Fishing and trade.
Iron Gears: Engineering and craftsmanship.","Deepwater Fishers, Iron Gears, Shadowscale Clan","Defending Zarakzul, Unifying the Goblins","Emerging from the shadows, Grixiz stands before you—a small, wiry goblin with sharp, angular features. Her deep green skin contrasts with her piercing yellow eyes, which gleam with intelligence and determination. She wears dark, practical clothing, ideal for stealth and combat, and carries an array of tools and weapons, each meticulously maintained. Her presence is commanding, yet she exudes an aura of fairness and justice. As she speaks, her voice is measured and calm, carrying the weight of a leader who has seen and endured much.",Not Started,,,"The Whispering Shadows: Investigate rumors of a shadowy figure plotting against Grixiz.
Aquatic Anomalies: Discover the source of mysterious disturbances in the underground lake.
Supply Line Sabotage: Protect crucial supply lines from rival factions aiming to disrupt Zarakzul's trade.
Artifact Recovery: Retrieve a powerful artifact that could turn the tide in Zarakzul's favor.
Diplomatic Envoy: Act as emissaries to neighboring cities, forging alliances and securing trade agreements.","Religion: Grixiz follows a unique blend of ancient goblin spiritualism and the teachings of a long-forgotten deity, Hrakir, the Shadow Guardian. This deity once guided goblins and kobolds, teaching them the value of unity, survival, and cunning. Despite the gods' current silence, Grixiz remains devout, drawing strength from the ancient rituals and teachings.
Tenets of Hrakir, the Shadow Guardian:
1. Unity in the Shadows: Strength comes from unity. The tribes must work together, protecting each other from external threats.
2. Cunning and Survival: Outsmarting enemies and adapting to the environment are the keys to survival. Use the shadows to your advantage.
3. Respect for the Ancestors: Honor the ancestors who laid the foundation for your existence. Learn from their wisdom and carry their legacy forward.
Religious Practices:
• Shadow Vigils: Periodic gatherings where the faithful meditate in darkness, seeking guidance and strength from Hrakir. These vigils reinforce unity and focus the mind.
• Ritual Hunts: Ceremonial hunts led by the priests of Hrakir, symbolizing the tribe's survival and resilience. The spoils are shared among the community, reinforcing the tenet of unity.
• Ancestral Offerings: Regular offerings of food, crafted items, or small tokens of respect are made at shrines dedicated to the ancestors. This practice keeps the community connected to their roots and honors their heritage.
Grixiz's Personal Beliefs:
Grixiz's faith is deeply personal and shapes her leadership. She sees herself as a guardian of her people, much like Hrakir was for the ancient goblins. Her strategic mind and emphasis on unity are reflections of her religious upbringing. Despite the gods' silence, she believes their teachings remain relevant and continues to uphold their principles, guiding her people through the challenges of the Underdark.
Player Interaction with Religion:
Players may witness Grixiz performing religious rituals, participate in shadow vigils, or be invited to join a ritual hunt. They might also find themselves protecting or retrieving sacred artifacts tied to Hrakir, learning more about the ancient deity and the values that shape Zarakzul under Grixiz's leadership.",Hrakir the Shadow Guardian,,"Strategic thinking, combat prowess, loyalty to her people.",The Underdark's Defender,"Grixiz is a cunning and strategic thinker, always several steps ahead of her opponents. She values loyalty and justice above all, believing in fair treatment for all inhabitants of Zarakzul. Despite her tough exterior, she deeply cares for her people and will go to great lengths to protect them. In conversation, Grixiz is direct and to the point, often using her sharp wit to disarm those who underestimate her. She respects strength and skill, whether in combat, craftsmanship, or intellect.","Distrustful of outsiders, can be overly cautious, struggles with delegation of tasks."
The Broker,,,Unknown,,,,,"The Broker is an enigmatic figure who is never seen without one of his many masks. These masks range from intricately designed and ornate to simple and unassuming, each reflecting the personality he adopts at the time. His attire is always tailored and refined, hinting at wealth and sophistication, yet adaptable to blend into various social settings within the black market.",20,,"Vragathul: The Underground Metropolis (Locations/Vragathul%20The%20Underground%20Metropolis%20229177c62eca4ee3bed0cf5314a8a212.csv), Ulfgar: The Underground Jewel (Locations/Ulfgar%20The%20Underground%20Jewel%2069f9ad15c2064e1789ab458fada6bed8.csv), Uttp: The Upper Tunnels Trading Post (Locations/Uttp%20The%20Upper%20Tunnels%20Trading%20Post%20314a0cb00cad486ba9193eb75f647b0e.csv), Zarakzul: A Jewel in the Underdark (Locations/Zarakzul%20A%20Jewel%20in%20the%20Underdark%203737ae62b15a4c48b06fe231c0aa7447.csv), Karnuk: A City Forged in Strength (Locations/Karnuk%20A%20City%20Forged%20in%20Strength%20c3cece9d17264ac1833848b8a274116e.csv)","Main Quest, Side Quest",,,"Bregan D'aerthe, Shadow Parliment",,,Not Started,"Morrighan Bustlewing Side Quest (Quests/Quests%20Home/Morrighan%20Bustlewing%20Side%20Quest%20d2b6560933fd48f9964ac64bf02f6066.csv), Cannonball Quest (Quests/Quests%20Home/Cannonball%20Quest%2000cd26ddf56e4383bc0c849cfcf2fdd9.csv), Ibilith Gorch Quest (Quests/Quests%20Home/Ibilith%20Gorch%20Quest%2088b7302fe37c47e9baec8601398d05d2.csv), Gnomenclature’s Side Quest (Quests/Quests%20Home/Gnomenclature%E2%80%99s%20Side%20Quest%2034b6d78259b447829fe4550e6f7c5205.csv), Bpop Side Quest (Quests/Quests%20Home/Bpop%20Side%20Quest%2087c1ea96b3bc44deaa90dc61adcdcdc4.csv), (2)The Masks We Wear (Quests/Quests%20Home/(2)The%20Masks%20We%20Wear%209e652e94f4974fd78dbd091a719805a2.csv)","Morrighan Bustlewing Side Quest (Quests/Quests%20Home/Morrighan%20Bustlewing%20Side%20Quest%20d2b6560933fd48f9964ac64bf02f6066.csv), Gnomenclature’s Side Quest (Quests/Quests%20Home/Gnomenclature%E2%80%99s%20Side%20Quest%2034b6d78259b447829fe4550e6f7c5205.csv), Bpop Side Quest (Quests/Quests%20Home/Bpop%20Side%20Quest%2087c1ea96b3bc44deaa90dc61adcdcdc4.csv), Cannonball Quest (Quests/Quests%20Home/Cannonball%20Quest%2000cd26ddf56e4383bc0c849cfcf2fdd9.csv), Ibilith Gorch Quest (Quests/Quests%20Home/Ibilith%20Gorch%20Quest%2088b7302fe37c47e9baec8601398d05d2.csv)",,,,,,"The Broker, The Man with Many Masks",,
Zilrax Shadowspire,,,,"Underdark Merchant Alliance (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Underdark%20Merchant%20Alliance%20e7740330e8544cccad6f5e372216eec4.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Vexia Nightshade,,,,"Deep Market Syndicate (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Deep%20Market%20Syndicate%20c86f64edd59244d9b57ccebf39cbf39b.csv), Shadow Scale Clan (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Shadow%20Scale%20Clan%201443846ecefb44bcb93499994b2a6ce3.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Jarlaxle Baenre,,,,"Bregan D’aerthe (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/Bregan%20D%E2%80%99aerthe%20fb0d1a1defb24872ace5cab4537b20cf.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Elder Torvak,,,,"The Shadowstalkers (Organizations,%20Clans,%20&%20Families/Campaign%20Organizations,%20Clans,%20&%20Families/The%20Shadowstalkers%209e0360dbd5994fe0b7ebc77dadb7ec33.csv)",,,,,,,,,,,,,,,,,,,,,,,,
Elder Mirva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Drask,,,,,,,,,,,,,,,,,,,,,,,,,,,,
