Deity,Alignment,Domain,Portfolio
Boldrei,Lawful Good,"Life, Peace, Twilight","Hearth, community, marriage, government"
Dol Arrah,Lawful Good,"Light, War, Glory","Honor, sacrifice, light, sun, diplomacy"
Khyber,N/A,Darkness,"Creator of darkness, the Cruel Dragon Below"
Eberron,N/A,Life,"Creator of life, the Gentle Dragon Between"
Aureon,Lawful Neutral,"Knowledge, Order, Arcana","Law, knowledge, magic"
Siberys,N/A,Magic,"Creator of magic, the Golden Dragon Above"
Dol Dorn,Chaotic Good,"War, Strength, Competition","War, athleticism, competition"
The Shadow,Chaotic Evil,"Arcana, Knowledge","Dark magic, corruption"
Onatar,Neutral Good,"Forge, Knowledge, Fire","Crafts, weapons, tools, smithing, innovation"
Kol Korran,Neutral,"Trickery, Commerce, Wealth","Trade, wealth, money, commerce, theft"
The Keeper,Neutral Evil,Death,"Greed, death, soul, theft"
The Devourer,Neutral Evil,Tempest,"Destruction, storms, nature’s fury"
Silver Flame,Lawful Good,"Light, War","Purity, protection, eradication of evil"
The Mockery,Lawful Evil,"War, Trickery","Betrayal, dishonor, revenge"
The Fury,Chaotic Evil,"War, Tempest, Trickery","Passion, madness, revenge"
Arawai,Neutral Good,"Life, Nature, Weather","Fertility, crops, wilderness, birth"
Balinor,Neutral,"Life, Nature, War","Beasts, the hunt"
The Traveler,Chaotic Neutral,"Change, Trickery","Chaos, invention, journeys, transformation"
Olladra,Neutral Good,"Life, Trickery, Luck","Good fortune, feast, plentyness"
